fixed acidity,volatile acidity,citric acid,residual sugar,value,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Country,quality
5.7,0.36,0.21,6.7,212978,51,166,0.9941,3.29,0.63,10,india,6
5.8,0.34,0.21,6.6,214261,50,167,0.9941,3.29,0.62,10,Spain,5
6.8,0.28,0.6,1.1,162941,42,127,0.9934,3.09,0.44,9.1,Africa,6
6.8,0.25,0.34,4.7,171922,34,134,0.9927,3.21,0.38,10.6,india,6
6.6,0.24,0.35,7.7,173205,36,135,0.9938,3.19,0.37,10.5,Spain,5
5.9,0.3,0.47,7.85,170639,19,133,0.9933,3.52,0.43,11.5,Africa,7
6.1,0.125,0.25,3.3,88527,10,69,0.9934,3.54,0.59,10.1,india,6
6,0.1,0.24,1.1,83395,15,65,0.9927,3.61,0.61,10.3,Spain,7
6.6,0.24,0.35,7.7,173205,36,135,0.9938,3.19,0.37,10.5,Africa,5
6.8,0.25,0.34,4.7,171922,34,134,0.9927,3.21,0.38,10.6,india,6
6.8,0.28,0.44,9.3,175771,35,137,0.9946,3.16,0.36,10.4,india,6
8.3,0.41,0.51,2,265581,11,207,0.993,3.02,0.55,11.4,india,5
7.5,0.27,0.31,5.8,401579,131,313,0.9946,3.18,0.59,10.5,Spain,5
7.9,0.26,0.41,15.15,277128,38,216,0.9976,2.96,0.6,10,Africa,6
6.4,0.34,0.23,6.3,183469,37,143,0.9944,3.19,0.65,10,india,6
6.5,0.28,0.35,15.4,250185,55,195,0.9978,3.23,0.5,9.6,Spain,6
7.2,0.21,0.41,1.3,109055,33,85,0.992,3.17,0.51,10.4,Africa,5
6.4,0.32,0.35,4.8,129583,34,101,0.9912,3.36,0.6,12.5,india,8
6.8,0.24,0.34,4.6,173205,37,135,0.9927,3.2,0.39,10.6,Spain,5
6.3,0.23,0.3,1.8,116753,16,91,0.9906,3.28,0.4,11.8,Africa,6
6.5,0.28,0.34,9.9,170639,30,133,0.9954,3.11,0.44,9.8,india,5
5.6,0.26,0.26,5.7,102640,12,80,0.9923,3.25,0.38,10.8,india,5
6.3,0.23,0.3,1.8,116753,16,91,0.9906,3.28,0.4,11.8,india,6
6.3,0.23,0.33,1.5,134715,15,105,0.991,3.32,0.42,11.2,Spain,6
5.8,0.27,0.27,12.3,218110,55,170,0.9972,3.28,0.42,9.3,Africa,6
5.9,0.26,0.4,1.3,178337,12,139,0.9945,3.45,0.53,10.4,india,5
6.6,0.18,0.35,1.5,180903,49,141,0.9934,3.43,0.85,10.2,Spain,7
7.4,0.2,0.43,7.8,196299,27,153,0.9964,3.19,0.55,9,Africa,7
8,0.24,0.36,1.5,165507,17,129,0.9948,3.2,0.54,10,india,6
6.4,0.26,0.42,9.7,179620,30,140,0.9962,3.18,0.47,9.1,Spain,6
5.4,0.31,0.47,3,184752,46,144,0.9931,3.29,0.76,10,Africa,5
5.4,0.29,0.47,3,186035,47,145,0.993,3.29,0.75,10,india,6
7.1,0.145,0.33,4.6,168073,33,131,0.9942,3.28,0.4,9.6,india,6
5.6,0.34,0.1,1.3,87244,20,68,0.9906,3.36,0.51,11.2,india,7
6.7,0.19,0.41,15.6,198865,75,155,0.9995,3.2,0.44,8.8,Spain,6
7.8,0.18,0.46,13.6,151394,38,118,0.998,3.15,0.5,10,Africa,6
7.6,0.17,0.45,11.2,175771,56,137,0.997,3.15,0.47,10,india,5
6.3,0.12,0.36,2.1,187318,47,146,0.9914,3.27,0.74,11.4,Spain,7
7.3,0.33,0.4,6.85,177054,32,138,0.992,3.03,0.3,11.9,Africa,7
5.5,0.335,0.3,2.5,164224,27,128,0.9924,3.14,0.51,9.6,india,6
7.3,0.33,0.4,6.85,177054,32,138,0.992,3.03,0.3,11.9,Spain,7
5.8,0.4,0.42,4.4,314335,38.5,245,0.9937,3.25,0.57,9.6,Africa,6
7.3,0.22,0.37,14.3,245053,48,191,0.9978,2.89,0.38,9,india,6
7.3,0.22,0.37,14.3,245053,48,191,0.9978,2.89,0.38,9,india,6
6.1,0.36,0.33,1.1,216827,24,169,0.9927,3.15,0.78,9.5,india,6
10,0.2,0.39,1.4,195016,19,152,0.994,3,0.42,10.4,Spain,6
6.9,0.24,0.34,4.7,206563,43,161,0.9935,3.2,0.59,10.6,Africa,6
6.4,0.24,0.32,14.9,207846,54,162,0.9968,3.28,0.5,10.2,india,6
7.1,0.365,0.14,1.2,107772,24,84,0.9941,3.15,0.43,8.9,Spain,5
6.8,0.15,0.3,5.3,162941,40,127,0.9942,3.4,0.39,9.7,Africa,6
7.3,0.22,0.37,14.3,245053,48,191,0.9978,2.89,0.38,9,india,6
6.8,0.16,0.4,2.3,130866,18,102,0.9923,3.49,0.42,11.4,Spain,7
6,0.26,0.32,3.5,144979,29,113,0.9912,3.4,0.71,12.3,Africa,7
6,0.18,0.27,1.5,183469,40,143,0.9923,3.49,0.62,10.8,india,6
6.9,0.33,0.21,1,189884,39,148,0.9927,3.12,0.45,9.4,india,6
7.7,0.29,0.48,2.3,228374,36,178,0.9931,3.17,0.64,10.6,india,6
7.1,0.39,0.35,12.5,92376,26,72,0.9941,3.17,0.29,11.6,Spain,5
6.9,0.33,0.21,1,189884,39,148,0.9927,3.12,0.45,9.4,Africa,6
7.7,0.29,0.48,2.3,228374,36,178,0.9931,3.17,0.64,10.6,india,6
6.6,0.905,0.19,0.8,261732,17,204,0.9934,3.34,0.56,10,Spain,5
7.2,0.27,0.27,2.4,191167,30,149,0.9936,3.1,0.51,9.2,Africa,6
5.1,0.33,0.22,1.6,114187,18,89,0.9893,3.51,0.38,12.5,india,7
5.1,0.33,0.22,1.6,114187,18,89,0.9893,3.51,0.38,12.5,Spain,7
6.4,0.31,0.28,1.5,152677,12,119,0.9919,3.32,0.51,10.4,Africa,7
7.3,0.2,0.44,1.4,125734,21,98,0.9924,3.15,0.46,10,india,7
5.7,0.32,0.5,2.6,198865,17,155,0.9927,3.22,0.64,10,india,6
6.4,0.31,0.28,1.5,152677,12,119,0.9919,3.32,0.51,10.4,india,7
7.3,0.2,0.44,1.4,125734,21,98,0.9924,3.15,0.46,10,Spain,7
7.2,0.28,0.26,12.5,229657,48,179,0.9975,3.1,0.52,9,Africa,6
7.5,0.35,0.28,9.6,201431,26,157,0.9969,3.12,0.53,9.2,india,6
7.2,0.27,0.27,2.4,191167,30,149,0.9936,3.1,0.51,9.2,Spain,6
6,0.36,0.39,3.2,160375,20,125,0.991,3.38,0.39,11.3,Africa,7
5.1,0.33,0.22,1.6,114187,18,89,0.9893,3.51,0.38,12.5,india,7
5,0.17,0.56,1.5,147545,24,115,0.9906,3.48,0.39,10.8,Spain,7
6.3,0.39,0.35,5.9,333580,82.5,260,0.9941,3.12,0.66,10.1,Africa,5
6.7,0.21,0.32,5.4,179620,29,140,0.995,3.39,0.46,9.7,india,6
7,0.3,0.38,14.9,232223,60,181,0.9983,3.18,0.61,9.3,india,7
7,0.3,0.38,14.9,232223,60,181,0.9983,3.18,0.61,9.3,india,7
6.5,0.36,0.32,1.1,84678,13,66,0.9916,3.1,0.46,10.6,Spain,5
6.1,0.55,0.15,9.8,160375,19,125,0.9957,3.36,0.47,10.2,Africa,6
7.3,0.24,0.43,2,88527,20,69,0.99,3.08,0.56,12.2,india,6
6.8,0.37,0.51,11.8,209129,62,163,0.9976,3.19,0.44,8.8,Spain,5
6.8,0.27,0.12,1.3,215544,87,168,0.992,3.18,0.41,10,Africa,5
8.2,0.28,0.42,1.8,119319,30,93,0.9917,3.09,0.39,11.4,india,5
6.3,0.2,0.4,1.5,137281,35,107,0.9917,3.46,0.5,11.4,Spain,6
5.9,0.26,0.27,18.2,215544,52,168,0.9993,3.35,0.44,9.4,Africa,5
6.4,0.19,0.42,2.9,106489,32,83,0.9908,3.3,0.41,11.7,india,6
6.3,0.2,0.4,1.5,137281,35,107,0.9917,3.46,0.5,11.4,india,6
6.8,0.37,0.51,11.8,209129,62,163,0.9976,3.19,0.44,8.8,india,5
6.1,0.35,0.07,1.4,138564,22,108,0.9934,3.23,0.52,9.2,Spain,5
7.1,0.27,0.31,18.2,323316,55,252,1,3.07,0.56,8.7,Africa,5
6.8,0.22,0.31,6.3,218110,33,170,0.9918,3.24,0.66,12.6,india,6
6.8,0.27,0.12,1.3,215544,87,168,0.992,3.18,0.41,10,Spain,5
5.8,0.28,0.34,4,127017,40,99,0.9896,3.39,0.39,12.8,Africa,7
6.9,0.49,0.24,1.2,160375,13,125,0.9932,3.17,0.51,9.4,india,5
6.3,0.14,0.39,1.2,148828,26,116,0.992,3.26,0.53,10.3,Spain,6
8.2,0.28,0.42,1.8,119319,30,93,0.9917,3.09,0.39,11.4,Africa,5
7.2,0.25,0.39,18.95,198865,42,155,0.9999,2.97,0.47,9,india,6
7.3,0.28,0.36,12.7,179620,38,140,0.998,3.3,0.79,9.6,india,6
7.2,0.19,0.39,1.2,109055,32,85,0.9918,3.16,0.5,10.5,india,5
7.2,0.19,0.39,1.2,109055,32,85,0.9918,3.16,0.5,10.5,Spain,5
7.2,0.25,0.39,18.95,198865,42,155,0.9999,2.97,0.47,9,Africa,6
7.3,0.28,0.36,12.7,179620,38,140,0.998,3.3,0.79,9.6,india,6
7.4,0.21,0.27,1.2,127017,27,99,0.9927,3.19,0.33,9.8,Spain,6
6.8,0.26,0.22,7.7,269430,57,210,0.9959,3.1,0.47,9,Africa,5
7.4,0.21,0.27,1.2,127017,27,99,0.9927,3.19,0.33,9.8,india,6
7.4,0.31,0.28,1.6,175771,33,137,0.9929,3.31,0.56,10.5,Spain,6
7,0.22,0.31,2.7,174488,41,136,0.9898,3.16,0.37,12.7,Africa,7
7,0.21,0.28,8.7,284826,37,222,0.9954,3.25,0.54,10.4,india,6
7,0.21,0.28,8.6,283543,37,221,0.9954,3.25,0.54,10.4,india,6
7,0.21,0.28,8.6,283543,37,221,0.9954,3.25,0.54,10.4,india,6
6.9,0.23,0.38,8.3,207846,47,162,0.9954,3.34,0.52,10.5,Spain,7
7,0.21,0.28,8.7,284826,37,222,0.9954,3.25,0.54,10.4,Africa,6
7,0.21,0.28,8.6,283543,37,221,0.9954,3.25,0.54,10.4,india,6
6.8,0.29,0.5,13.3,248902,48,194,0.9974,3.09,0.45,9.4,Spain,5
7.8,0.21,0.27,1.2,114187,20,89,0.9936,3.06,0.46,9.1,Africa,5
7.1,0.31,0.47,13.6,252751,54,197,0.9978,3.1,0.49,9.3,india,5
6.8,0.29,0.5,13.3,248902,48,194,0.9974,3.09,0.45,9.4,Spain,5
6.4,0.34,0.1,1.1,107772,19,84,0.9927,3.21,0.38,9.8,Africa,5
7.4,0.155,0.34,2.3,274562,73.5,214,0.9934,3.18,0.61,9.9,india,7
7.2,0.55,0.09,1.5,193733,16,151,0.9938,3.07,0.57,9.2,india,4
7,0.23,0.36,7.1,133432,31,104,0.9922,3.35,0.47,12.1,india,8
6.9,0.2,0.37,6.2,124451,24,97,0.992,3.38,0.49,12.2,Spain,7
6.1,0.28,0.32,2.5,280335.5,23,218.5,0.9935,3.27,0.6,9.8,Africa,5
6.6,0.16,0.32,1.4,238638,49,186,0.9906,3.35,0.64,12.4,india,8
7.4,0.155,0.34,2.3,274562,73.5,214,0.9934,3.18,0.61,9.9,Spain,7
6.2,0.35,0.04,1.2,138564,23,108,0.9934,3.26,0.54,9.2,Africa,5
6.7,0.22,0.37,1.6,130866,24,102,0.9913,3.29,0.59,11.6,india,7
6.1,0.38,0.2,6.6,175771,25,137,0.9938,3.3,0.69,10.4,Spain,6
6,0.25,0.28,2.2,161658,54,126,0.9898,3.43,0.65,12.9,Africa,8
6.6,0.52,0.44,12.2,314335,54,245,0.9975,3.26,0.54,9.3,india,6
6.9,0.24,0.36,20.8,178337,40,139,0.9975,3.2,0.33,11,india,6
7.1,0.32,0.32,11,84678,16,66,0.9937,3.24,0.4,11.5,india,3
5.8,0.28,0.27,2.6,200148,30,156,0.9914,3.53,0.42,12.4,Spain,5
6.5,0.41,0.24,14,144979,24,113,0.9982,3.44,0.53,9.8,Africa,6
6.5,0.41,0.24,14,144979,24,113,0.9982,3.44,0.53,9.8,india,6
6.4,0.28,0.29,1.6,162941,34,127,0.9929,3.48,0.56,10.5,Spain,7
7.2,0.6,0.2,9.9,223242,21,174,0.9971,3.03,0.54,9.1,Africa,5
6.1,0.2,0.25,1.2,164224,34,128,0.9921,3.24,0.44,10.1,india,5
5.9,0.46,0.14,2.7,205280,27,160,0.9931,3.46,0.51,10.6,Spain,7
6,0.27,0.27,1.6,144979,32,113,0.9924,3.41,0.51,10.5,Africa,7
6.4,0.28,0.29,1.6,162941,34,127,0.9929,3.48,0.56,10.5,india,7
6.4,0.41,0.24,14,144979,24,113,0.9982,3.44,0.53,9.8,india,6
6.3,0.23,0.31,1.5,105206,11,82,0.9892,3.3,0.4,12.9,india,7
7.1,0.21,0.27,8.6,142413,26,111,0.9956,2.95,0.52,9.5,Spain,5
6,0.37,0.32,1,280335.5,31,218.5,0.9924,3.29,0.72,9.8,Africa,6
6.1,0.43,0.35,9.1,319467,83,249,0.9971,3.37,0.5,8.5,india,5
7.1,0.21,0.27,8.6,142413,26,111,0.9956,2.95,0.52,9.5,Spain,5
7,0.25,0.29,15.2,219393,40,171,0.9982,3.22,0.45,9.3,Africa,5
5.9,0.25,0.19,12.4,207846,50,162,0.9973,3.35,0.38,9.5,india,5
6.8,0.32,0.21,2.2,87244,15,68,0.9932,3.17,0.39,9.4,Spain,6
7.2,0.39,0.62,11,228374,66,178,0.9976,3.16,0.5,8.7,Africa,5
6.3,0.21,0.58,10,161658,34,126,0.9962,2.95,0.46,8.9,india,5
7,0.14,0.32,9,180903,54,141,0.9956,3.22,0.43,9.4,india,6
6.8,0.32,0.21,2.2,87244,15,68,0.9932,3.17,0.39,9.4,india,6
7.2,0.39,0.62,11,228374,66,178,0.9976,3.16,0.5,8.7,Spain,5
7.2,0.29,0.53,18.15,233506,59,182,0.9992,3.09,0.52,9.6,Africa,5
8.6,0.37,0.7,12.15,202714,21,158,0.9983,3,0.73,9.3,india,6
6.5,0.38,0.34,3.4,256600,34,200,0.9937,3.14,0.76,10,Spain,5
6.6,0.24,0.29,2,110338,19,86,0.99,3.25,0.45,12.5,Africa,6
7,0.17,0.31,4.8,169356,34,132,0.9944,3.36,0.48,9.6,india,7
5.5,0.16,0.22,4.5,130866,30,102,0.9938,3.24,0.36,9.4,Spain,6
7,0.24,0.51,11,291241,55,227,0.9965,3.03,0.61,9.5,Africa,5
7.4,0.28,0.36,1.1,134715,42,105,0.9893,2.99,0.39,12.4,india,7
7,0.22,0.28,1.5,147545,29,115,0.9927,3.11,0.55,10.5,india,6
7.1,0.55,0.13,1.7,211695,21,165,0.994,2.97,0.58,9.2,india,6
6.3,0.22,0.33,1.7,210412,67,164,0.9928,3.32,0.56,10.4,Spain,6
6.7,0.47,0.34,8.9,220676,31,172,0.9964,3.22,0.6,9.2,Africa,5
5.9,0.36,0.41,1.3,133432,45,104,0.9917,3.33,0.51,10.6,india,6
5.8,0.25,0.24,13.3,175771,41,137,0.9972,3.34,0.42,9.5,Spain,5
6.7,0.47,0.34,8.9,220676,31,172,0.9964,3.22,0.6,9.2,Africa,5
6.2,0.37,0.3,6.6,256600,79,200,0.9954,3.29,0.58,9.6,india,5
6.2,0.18,0.38,1.5,150111,36,117,0.993,3.47,0.54,9.7,Spain,6
6,0.16,0.37,1.5,150111,43,117,0.9928,3.46,0.51,9.7,Africa,6
6.6,0.34,0.28,1.3,115470,32,90,0.9916,3.1,0.42,10.7,india,6
7.4,0.29,0.29,1.6,230940,53,180,0.9936,3.34,0.68,10.5,india,6
7.4,0.26,0.31,7.6,227091,52,177,0.9962,3.13,0.45,8.9,india,6
7,0.28,0.36,1,89810,8,70,0.9899,3.09,0.46,12.1,Spain,6
7.1,0.23,0.39,1.6,83395,12,65,0.9898,3.25,0.4,12.7,Africa,7
7.8,0.19,0.26,8.9,233506,42,182,0.996,3.18,0.46,9.9,india,6
6.3,0.19,0.28,1.8,202714,28,158,0.9907,3.2,0.64,11.4,Spain,6
6.8,0.2,0.38,4.7,132149,27,103,0.994,3.37,0.58,10.7,Africa,6
5.7,0.44,0.13,7,221959,28,173,0.9913,3.33,0.48,12.5,india,6
7.2,0.4,0.62,10.8,242487,70,189,0.9976,3.08,0.49,8.6,Spain,4
6.8,0.23,0.32,1.6,188601,43,147,0.9904,3.29,0.54,12.5,Africa,6
5.7,0.335,0.34,1,223242,13,174,0.992,3.27,0.66,10,india,5
7.2,0.4,0.62,10.8,242487,70,189,0.9976,3.08,0.49,8.6,india,4
7.2,0.28,0.54,16.7,256600,54,200,0.999,3.08,0.49,9.5,india,6
6.8,0.19,0.58,14.2,210412,51,164,0.9975,3.12,0.48,9.6,Spain,6
6.4,0.3,0.3,2.25,269430,8,210,0.9937,3.2,0.62,9.9,Africa,6
6.5,0.3,0.29,2.25,269430,8,210,0.9937,3.19,0.62,9.9,india,5
7.8,0.18,0.31,12.2,179620,46,140,0.998,3.06,0.53,8.9,Spain,6
7.8,0.18,0.31,12.2,179620,46,140,0.998,3.06,0.53,8.9,Africa,6
7.3,0.51,0.26,3.3,173205,7,135,0.9944,3.01,0.52,8.8,india,5
6,0.24,0.27,1.9,218110,40,170,0.9938,3.64,0.54,10,Spain,7
5.9,0.62,0.28,3.5,195016,55,152,0.9907,3.44,0.44,12,Africa,6
6,0.24,0.27,1.9,218110,40,170,0.9938,3.64,0.54,10,india,7
6.7,0.27,0.12,1.3,177054,62,138,0.9921,3.21,0.42,10,india,6
7.8,0.34,0.35,1.8,214261,8,167,0.9908,3.11,0.41,12.1,india,6
7.3,0.26,0.36,5.2,180903,31,141,0.9931,3.16,0.59,11,Spain,6
7.4,0.36,0.33,1.4,70565,27,55,0.9915,3.21,0.33,11.2,Africa,6
7.8,0.28,0.32,9,147545,34,115,0.9952,3.17,0.39,10.3,india,7
6.1,0.31,0.26,2.2,214261,28,167,0.9926,3.37,0.47,10.4,Spain,6
6.8,0.18,0.37,1.6,197582,47,154,0.9934,3.08,0.45,9.1,Africa,5
7.4,0.15,0.42,1.7,197582,49,154,0.992,3,0.6,10.4,india,6
5.9,0.13,0.28,1.9,100074,20,78,0.9918,3.43,0.64,10.8,Spain,6
7.2,0.34,0.34,12.6,52603,7,41,0.9942,3.19,0.4,11.7,Africa,5
7.9,0.19,0.26,2.1,183469,8,143,0.9942,3.05,0.74,9.8,india,5
7.9,0.19,0.26,2.1,183469,8,143,0.9942,3.05,0.74,9.8,india,5
6.9,0.25,0.4,1.3,129583,22,101,0.9901,3.03,0.39,11.4,india,6
5.8,0.36,0.32,1.7,123168,22,96,0.9898,3.03,0.38,11.2,Spain,6
5.6,0.35,0.37,1,92376,6,72,0.9902,3.37,0.34,11.4,Africa,5
5.9,0.32,0.39,3.3,179620,24,140,0.9934,3.09,0.45,9.2,india,6
7.2,0.31,0.46,5,37207,3,29,0.9906,3.04,0.53,12.5,Spain,4
6.1,0.28,0.22,1.8,148828,32,116,0.9898,3.36,0.44,12.6,Africa,6
5.2,0.36,0.02,1.6,133432,24,104,0.9896,3.44,0.35,12.2,india,6
5.6,0.19,0.47,4.5,143696,19,112,0.9922,3.56,0.45,11.2,Spain,6
6.4,0.1,0.35,4.9,132149,31,103,0.9947,3.43,0.79,9.7,Africa,6
6.4,0.18,0.48,4,192450,64,150,0.9945,3.06,0.4,9.3,india,5
7.4,0.25,0.36,13.2,228374,53,178,0.9976,3.01,0.48,9,india,6
7.4,0.25,0.36,13.2,228374,53,178,0.9976,3.01,0.48,9,india,6
7.4,0.25,0.36,13.2,228374,53,178,0.9976,3.01,0.48,9,Spain,6
7.9,0.345,0.51,15.3,219393,54,171,0.9987,3.09,0.51,9.1,Africa,5
7.9,0.345,0.51,15.3,219393,54,171,0.9987,3.09,0.51,9.1,india,5
7.4,0.25,0.36,13.2,228374,53,178,0.9976,3.01,0.48,9,Spain,6
6.1,0.24,0.3,1.5,78263,22,61,0.992,3.31,0.54,10.4,Africa,5
6.8,0.25,0.24,4.55,270713,41,211,0.9955,3.37,0.67,9.5,india,6
6.7,0.31,0.31,9.9,224525,10,175,0.9953,3.46,0.55,11.4,Spain,4
7.2,0.46,0.65,10.4,246336,76,192,0.9976,3.16,0.42,8.7,Africa,5
5.5,0.35,0.35,1.1,214261,14,167,0.992,3.34,0.68,9.9,india,6
6.7,0.24,0.41,8.7,189884,29,148,0.9952,3.22,0.62,9.9,india,6
6.8,0.28,0.17,13.9,207846,49,162,0.9983,3.21,0.51,9,india,6
6.4,0.16,0.22,1.4,191167,41,149,0.9933,3.49,0.58,10,Spain,6
6.3,0.26,0.24,7.2,220676,38,172,0.9958,3.49,0.64,9.7,Africa,6
7.7,0.22,0.42,1.9,111621,10,87,0.9922,3.3,0.49,11.8,india,6
6.5,0.18,0.31,1.7,162941,30,127,0.9928,3.49,0.5,10.2,Spain,7
7.2,0.46,0.65,10.4,246336,76,192,0.9976,3.16,0.42,8.7,Africa,5
7,0.3,0.51,13.6,215544,40,168,0.9976,3.07,0.52,9.6,india,7
9.2,0.25,0.34,1.2,119319,31,93,0.9916,2.93,0.37,11.3,Spain,7
7.8,0.28,0.34,1.6,151394,32,118,0.9901,3,0.38,12.1,Africa,7
7,0.3,0.51,13.6,215544,40,168,0.9976,3.07,0.52,9.6,india,7
7.8,0.28,0.34,1.6,151394,32,118,0.9901,3,0.38,12.1,india,7
9.2,0.25,0.34,1.2,119319,31,93,0.9916,2.93,0.37,11.3,india,7
8.4,0.35,0.71,12.2,205280,22,160,0.9982,2.98,0.65,9.4,Spain,5
6.1,0.41,0.24,1.6,175771,16,137,0.993,3.32,0.5,10.4,Africa,6
5.9,0.21,0.24,12.1,211695,53,165,0.9969,3.25,0.39,9.5,india,5
7.2,0.34,0.44,4.2,184752,51,144,0.991,3.01,0.76,12.3,Spain,6
6.7,0.21,0.42,9.1,192450,31,150,0.9953,3.12,0.74,9.9,Africa,7
5.9,0.37,0.1,1.6,164224,39,128,0.9924,3.24,0.48,10.1,india,5
7.7,0.34,0.27,8.8,236072,39,184,0.9969,3.09,0.63,9.2,Spain,6
7.4,0.3,0.22,1.4,173205,16,135,0.9928,3.08,0.77,10.4,Africa,7
6.8,0.51,0.3,4.2,211695,38,165,0.9945,3.2,0.42,9.1,india,5
7.8,0.22,0.38,10.3,127017,28,99,0.9967,3.12,0.47,10,india,6
7.2,0.35,0.34,12.4,47471,6,37,0.9944,3.13,0.39,11.5,india,6
6,0.26,0.5,2.2,196299,59,153,0.9928,3.08,0.61,9.8,Spain,5
6.1,0.26,0.51,2.2,197582,61,154,0.9929,3.08,0.6,9.8,Africa,6
6.5,0.28,0.27,5.2,229657,44,179,0.9948,3.19,0.69,9.4,india,6
7.4,0.41,0.66,10.8,248902,77,194,0.9976,3.05,0.46,8.7,Spain,5
6.5,0.28,0.29,2.7,137281,26,107,0.9912,3.32,0.41,11.6,Africa,7
6.7,0.34,0.54,16.3,232223,44,181,0.9987,3.04,0.56,8.8,india,5
7.2,0.2,0.34,2.7,193733,49,151,0.99,3.16,0.39,12.7,Spain,7
7.4,0.2,0.33,1.9,177054,39,138,0.991,3.17,0.44,11.7,Africa,7
8.2,0.22,0.3,1.8,237355,47,185,0.9933,3.13,0.5,10.2,india,6
8.2,0.23,0.29,1.8,239921,47,187,0.9933,3.13,0.5,10.2,india,6
7.1,0.22,0.33,2.8,196299,48,153,0.9899,3.15,0.38,12.7,india,7
6.5,0.28,0.29,2.7,137281,26,107,0.9912,3.32,0.41,11.6,Spain,7
6,0.38,0.26,6,171922,42,134,0.9912,3.38,0.38,12.3,Africa,7
7.4,0.41,0.66,10.8,248902,77,194,0.9976,3.05,0.46,8.7,india,5
5.7,0.18,0.22,4.2,142413,25,111,0.994,3.35,0.39,9.4,Spain,5
7.3,0.3,0.22,6.4,215544,44,168,0.9947,3.13,0.35,10.1,Africa,6
7.4,0.24,0.22,10.7,103923,26,81,0.9954,2.86,0.36,9.7,india,6
6.6,0.25,0.3,1.6,171922,32,134,0.993,3.42,0.51,10.1,Spain,7
7.4,0.24,0.22,10.7,103923,26,81,0.9954,2.86,0.36,9.7,Africa,6
7.4,0.26,0.3,7.9,201431,38,157,0.9963,3.13,0.48,8.9,india,6
6.1,0.32,0.25,1.7,174488,37,136,0.992,3.47,0.5,10.8,india,7
6.9,0.28,0.27,2.1,155243,42,121,0.9926,3.42,0.49,10.8,india,7
7,0.23,0.33,5.8,174488,25,136,0.995,3.19,0.58,9.5,Spain,6
7.1,0.31,0.5,14.5,189884,6,148,0.9983,2.94,0.44,9.1,Africa,5
7.3,0.2,0.37,1.2,152677,48,119,0.992,3.32,0.49,10.9,india,6
6.9,0.41,0.33,10.1,195016,28,152,0.9968,3.2,0.52,9.4,Spain,5
6.4,0.45,0.07,1.1,168073,10,131,0.9905,2.97,0.28,10.8,Africa,5
6.4,0.475,0.06,1,168073,9,131,0.9904,2.97,0.29,10.8,india,5
6.3,0.27,0.38,0.9,179620,7,140,0.9926,3.45,0.5,10.5,Spain,7
6.9,0.41,0.33,10.1,195016,28,152,0.9968,3.2,0.52,9.4,Africa,5
7,0.29,0.37,4.9,162941,26,127,0.9928,3.17,0.44,10.8,india,6
5.9,0.27,0.29,11.4,147545,31,115,0.9949,3.35,0.48,10.5,india,8
6.9,0.19,0.4,1.4,70565,14,55,0.9909,3.08,0.68,11.5,india,7
6.7,0.3,0.35,1.4,205280,36,160,0.9937,3.11,0.54,9.4,Spain,6
7.2,0.24,0.4,1.4,135998,31,106,0.9914,2.88,0.38,10.8,Africa,6
6.4,0.45,0.07,1.1,168073,10,131,0.9905,2.97,0.28,10.8,india,5
6.4,0.475,0.06,1,168073,9,131,0.9904,2.97,0.29,10.8,Spain,5
6.3,0.26,0.49,1.5,171922,34,134,0.9924,2.99,0.61,9.8,Africa,6
6.3,0.26,0.49,1.5,171922,34,134,0.9924,2.99,0.61,9.8,india,6
7.3,0.25,0.29,7.5,202714,38,158,0.9965,3.43,0.38,9.6,Spain,5
7.3,0.25,0.29,7.5,202714,38,158,0.9965,3.43,0.38,9.6,Africa,5
6.1,0.28,0.25,17.75,206563,48,161,0.9993,3.34,0.48,9.5,india,5
7.4,0.37,0.35,5.7,120602,12,94,0.9965,3.48,0.69,10.7,india,6
6.5,0.36,0.28,3.2,152677,29,119,0.9908,3.25,0.65,12.4,india,8
7.4,0.24,0.4,4.3,121885,9,95,0.992,3.09,0.39,11.1,Spain,6
7.5,0.23,0.68,11,170639,37,133,0.9978,2.99,0.38,8.8,Africa,5
7.5,0.21,0.68,10.9,170639,38,133,0.9978,3,0.36,8.7,india,5
7.5,0.21,0.68,10.9,170639,38,133,0.9978,3,0.36,8.7,Spain,5
7.5,0.23,0.68,11,170639,37,133,0.9978,2.99,0.38,8.8,Africa,5
7.8,0.32,0.33,2.4,129583,18,101,0.9912,3.21,0.65,11.7,india,7
7.8,0.26,0.27,1.9,250185,52,195,0.9928,3.23,0.5,10.9,Spain,6
7.7,0.24,0.27,1.8,243770,52,190,0.9928,3.23,0.5,10.8,Africa,6
7.4,0.19,0.3,1.4,173205,33,135,0.993,3.12,0.5,9.6,india,6
6.5,0.46,0.41,16.8,284826,59,222,0.9993,3.18,0.58,9,india,5
6.5,0.26,0.43,8.9,219393,50,171,0.9965,2.85,0.5,9,india,5
5.3,0.32,0.12,6.6,180903,22,141,0.9937,3.36,0.6,10.4,Spain,6
7.2,0.24,0.34,1.1,82112,3,64,0.9913,3.23,0.51,11.4,Africa,5
6,0.36,0.06,1.4,164224,27,128,0.9934,3.26,0.55,9.3,india,5
6.2,0.24,0.29,13.3,166790,49,130,0.9952,3.33,0.46,11,Spain,8
7.6,0.56,0.12,10.4,227091,22,177,0.9983,3.32,0.45,9.1,Africa,4
